"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_BakedPotatoVegBox_Opened_DS","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","Eine gebackene Kartoffel, belegt mit einer Mischung aus Zucchini, Paprika, Tomaten und geschmolzenem Käse. Ein sättigendes, gemüsereiches Gericht. Nach dem Öffnen rasch verzehren.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.","A baked potato topped with a mix of zucchini, bell peppers, tomatoes, and melted cheese. A filling, veggie-packed meal. Eat up before it spoils.",
"STR_CookZ_BakedPotatoMeatBox_DN","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Ofenkartoffel mit Fleisch","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat","Baked Potato With Meat",
"STR_CookZ_BakedPotatoMeatBox_DS","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","Eine warme Ofenkartoffel, gefüllt mit zartem Fleisch und Käse. Ein einfaches, aber zufriedenstellendes Gericht.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish.",
"STR_CookZ_BakedPotatoMeatBox_Opened_DS","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","Eine warme Ofenkartoffel, gefüllt mit zartem Fleisch und Käse. Ein einfaches, aber zufriedenstellendes Gericht. Nach dem Öffnen rasch verzehren.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.","A warm baked potato filled with tender meat and cheese, creating a comforting and satisfying dish. Eat up before it spoils.",
"STR_CookZ_BakedPotatoFishBox_DN","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Ofenkartoffel mit Meeresfrüchten","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood","Baked Potato With Seafood",
"STR_CookZ_BakedPotatoFishBox_DS","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","Eine warme Ofenkartoffel, gefüllt mit geschmolzenem Käse, Fisch und Kaviar. Eine raffinierte Kombination aus Aromen, die dieses Gericht besonders macht.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish.",
"STR_CookZ_BakedPotatoFishBox_Opened_DS","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","Eine warme Ofenkartoffel, gefüllt mit geschmolzenem Käse, Fisch und Kaviar. Eine raffinierte Kombination aus Aromen, die dieses Gericht besonders macht. Nach dem Öffnen rasch verzehren.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.","A warm baked potato filled with melted cheese, fish, and caviar. A sophisticated combination of flavors that make for a unique and satisfying dish. Eat up before it spoils.",
"STR_CookZ_PaprikasKrumpliBox_DN","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli","Paprikas Krumpli",
"STR_CookZ_PaprikasKrumpliBox_DS","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","Ein traditionelles ungarisches Gericht mit Wurst, Kartoffeln und Paprika, zusammen geschmort zu einem einfachen, kräftigen Essen.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal.",
"STR_CookZ_PaprikasKrumpliBox_Opened_DS","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","Ein traditionelles ungarisches Gericht mit Wurst, Kartoffeln und Paprika, zusammen geschmort zu einem einfachen, kräftigen Essen. Nach dem Öffnen rasch verzehren.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.","A traditional Hungarian dish of sausage, potatoes, and bell peppers, simmered to perfection for a simple, filling meal. Eat up before it spoils.",
